column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
BUFFER_TYPE,S,소프트,소프트,1083,Y,,
BUSINESS_CATEGORY,L,물류,물류,1076,Y,,
BUSINESS_CATEGORY,M,MRO,MRO,1077,Y,,
BUSINESS_CATEGORY,P,제조,제조,1080,Y,,
BUSINESS_CATEGORY,S,유통,유통,1083,Y,,
BUSINESS_CATEGORY,W,가공,가공,1087,Y,,
BUSINESS_STATUS,A,거래중,거래중,1065,Y,,C
BUSINESS_STATUS,D,거래중지,거래중지,1068,Y,,
BUSINESS_TYPE,C,고객,고객,1067,Y,,
BUSINESS_TYPE,D,납품처,납품처,1068,Y,,
BUSINESS_TYPE,M,제조사,제조사,1077,Y,,
BUSINESS_TYPE,O,자사,자사,1079,Y,,
BUSINESS_TYPE,S,공급처,공급처,1083,Y,,
BUSINESS_TYPE,T,외주처,외주처,1084,Y,,
BUSINESS_TYPE,W,MRO,MRO,1087,Y,,
BUYER_DIVISION,D,KD,KD,1068,Y,,
BUYER_DIVISION,H,HLDS,HLDS,1072,Y,,
BUYER_DIVISION,R,KR,KR,1082,Y,,
BUYER_DIVISION,V,VC,VC,1086,Y,,
BOSCH,Bosch,,,1066,Y,,
C,CS1000,CS1000,CS1000,1067,Y,,
CABINET_STATUS,CLOSE,잠김,잠김,1067,Y,,
CABINET_STATUS,NEW,신규,신규,1078,Y,,
CABINET_STATUS,OPEN,열림,열림,1079,Y,,
CABLE_STATUS,1,양품재고,양품재고,1,Y,,
CABLE_STATUS,2,불량재고,불량재고,2,Y,,
CABLE_STATUS,3,장착사용,장착사용,3,Y,,
CABLE_STATUS,4,장착대기,장착대기,4,Y,,
CABLE_TXN_TYPE,1,입고,입고,1,Y,,
CABLE_TXN_TYPE,2,현장출고,현장출고,2,Y,,
CABLE_TXN_TYPE,3,장착,장착,3,Y,,
CABLE_TXN_TYPE,4,회수,회수,4,Y,,
CABLE_TXN_TYPE,5,양품반납,양품반납,5,Y,,
CABLE_TXN_TYPE,6,불량반납,불량반납,6,Y,,
CALIBRATION_RESULT,N,NG,NG,1078,Y,,
CALIBRATION_RESULT,P,PASS,PASS,1080,Y,,
CALIBRATION_RESULT,W,WAIT,WAIT,1087,Y,,
CALIBRATION_TYPE,A,노즐1교정,노즐1교정,1065,Y,,
CAPACITY_UOM,KG,KG,KG,1075,Y,,
CAPACITY_UOM,ST,ST,ST,1083,Y,,
CARRIER_SIZE,1,1,1,1,Y,,
CARRIER_SIZE,10,10,10,10,Y,,
CARRIER_SIZE,11,11,11,11,Y,,
CARRIER_SIZE,12,12,12,12,Y,,
CARRIER_SIZE,13,13,13,13,Y,,
CARRIER_SIZE,14,14,14,14,Y,,
CARRIER_SIZE,15,15,15,15,Y,,
CARRIER_SIZE,16,16,16,16,Y,,
CARRIER_SIZE,17,17,17,17,Y,,
CARRIER_SIZE,18,18,18,18,Y,,
CARRIER_SIZE,19,19,19,19,Y,,
CARRIER_SIZE,2,2,2,2,Y,,
CARRIER_SIZE,20,20,20,20,Y,,
CARRIER_SIZE,21,21,21,21,Y,,
CARRIER_SIZE,22,22,22,22,Y,,
CARRIER_SIZE,23,23,23,23,Y,,
CARRIER_SIZE,24,24,24,24,Y,,
CARRIER_SIZE,25,25,25,25,Y,,
CARRIER_SIZE,26,26,26,26,Y,,
CARRIER_SIZE,27,27,27,27,Y,,
CARRIER_SIZE,28,28,28,28,Y,,
CARRIER_SIZE,29,29,29,29,Y,,
CARRIER_SIZE,3,3,3,3,Y,,
CARRIER_SIZE,30,30,30,30,Y,,
CARRIER_SIZE,4,4,4,4,Y,,
CARRIER_SIZE,5,5,5,5,Y,,
CARRIER_SIZE,6,6,6,6,Y,,
CARRIER_SIZE,7,7,7,7,Y,,
CARRIER_SIZE,8,8,8,8,Y,,
CARRIER_SIZE,9,9,9,9,Y,,
CARRYING_OUT_DIVISION,A,반제품,반제품,1065,Y,,
CARRYING_OUT_DIVISION,E,기타,기타,1069,Y,,
CARRYING_OUT_DIVISION,I,원자재,원자재,1073,Y,,
CARRYING_OUT_DIVISION,J,지그,지그,1074,Y,,
CARRYING_OUT_DIVISION,M,설비,설비,1077,Y,,
CARRYING_OUT_DIVISION,O,사무용품,사무용품,1079,Y,,
CARRYING_OUT_DIVISION,P,성품,성품,1080,Y,,
CARRYING_OUT_DIVISION,T,공구,공구,1084,Y,,
CARRYING_OUT_TYPE,A,교체,교체,1065,Y,,
CARRYING_OUT_TYPE,B,설계변경,설계변경,1066,Y,,
CARRYING_OUT_TYPE,C,검사의뢰,검사의뢰,1067,Y,,
CARRYING_OUT_TYPE,D,폐기,폐기,1068,Y,,
CARRYING_OUT_TYPE,E,기타,기타,1069,Y,,
CARRYING_OUT_TYPE,G,임대,임대,1071,Y,,
