column_name,korean_name,description,code_values
ALL_WINDOW,모든윈도우,모든윈도우,
ALL_WORKSTAGE_WAREHOUSE,전체 (공정+창고 ),전체 (공정+창고 ),
AMOUNT,금액.,금액 (금액),
AMT,금액,금액 (금액),
AMT_CLOSE,금액마감,금액마감 (금액),
AMT_COPY,금액복사,금액복사 (금액),
AM_TOTAL,AM 총계,AM 총계,
ANALYSIS,분석,분석,
AND,및,및,
AOI,AOI,AOI,
AOILOG_QUERY_NEW,AOI 로그조회(신규),AOI 로그조회(신규),
AOI_CHECK_YN,Aoi 검사여부,Aoi 검사여부,
AOI_DATA_GRAPH,AOI 데이터그래프,AOI 데이터그래프,
AOI_DEFECT_CODE,AOI 불량코드,AOI 불량코드 (코드 값),
AOI_EQUIPMENTID,AOI 설비,AOI 설비,
AOI_INSPECT_DATE,AOI 검사일자,AOI 검사일자 (날짜),
AOI_LOG_QUERY,1-2번라인 AOI 로그조회,1-2번라인 AOI 로그조회,
AOI_LOG_QUERY_NEW,AOI 로그조회,AOI 로그조회,
AOI_MASTER_SAMPLE_CHECK,AOI 마스터샘플체크,AOI 마스터샘플체크,
AOI_NG_DETAIL_QUERY,AOI 불량판정/리뷰결과조회,AOI 불량판정/리뷰결과조회,
AOI_NG_RATE,AOI NG 비율,AOI NG 비율,
AOI_NG_REVIEW_ONLY_QUERY,NG버퍼 DATA 로그조회,NG버퍼 DATA 로그조회,
AOI_PASS_RATE,AOI 직행율,AOI 직행율,
AOI_RESULT,AOI 검사결과,AOI 검사결과,
AOI_RESULT_QUERY,AOI 검사결과조회,AOI 검사결과조회,
AOI_REVIEW,NG버퍼 보기,NG버퍼 보기,
AOI_REVIEW_RESULT,NG버퍼 결과,NG버퍼 결과,
AOI_SAMPLE,AOI 샘플,AOI 샘플,
AOI_TIME_QUERY,AOI 시간대별조회,AOI 시간대별조회,
APCCTRL,Apcctrl리,Apcctrl리,
APL,4월,4월,
APLICAR_VERSI_N_AL_MODELO_TOP,버전적용 (TOP),버전적용 (TOP),
APPEND,추가,추가,
APPEND_F4,추가	F4,추가	F4,
APPEND_MENU,메뉴추가,메뉴추가,
APPEND_MY_MENU,바로가기추가,바로가기추가,
APPEND_SERIAL,시리얼추가,시리얼추가,
APPLICATION,APPLICATION,APPLICATION,
APPLICATION_CODE,애플리케이션코드,애플리케이션코드 (코드 값),
APPLICATION_ERROR,애플리케이션오류,애플리케이션오류,
APPLICATION_MANAGER,애플리케이션관리,애플리케이션관리,
APPLICATION_NAME,애플리케이션명,애플리케이션명,
APPLICATION_PLIVILEGE,프로그램사용권한,프로그램사용권한,
APPLICATION_WINDOW,애플리케이션창,애플리케이션창,
APPLY,적용,적용,
APPLY_ABC_GRADE,ABC등급적용,ABC등급적용,
APPLY_ALL,모두적용,모두적용,
APPLY_ARRIVAL_QTY,도착수량적용,도착수량적용 (수량),
APPLY_ASSEMBLY_PLAN,반제품계획적용,반제품계획적용,
APPLY_AUTO_ORDER_RULE,자동발주절차적용,자동발주절차적용,
APPLY_CALENDAR,월력적용,월력적용,
APPLY_DATE,적용일자,적용일자 (날짜),
APPLY_INVENTORY_QTY,재고량적용,재고량적용 (수량),
APPLY_ISSUE_PACKING_QTY,출고포장단위적용,출고포장단위적용 (수량),
APPLY_ITEM_MASTER,적용품목마스트,적용품목마스트,
APPLY_ITEM_MASTER_LIST,적용품목리스트,적용품목리스트,
APPLY_ITEM_QUERY,적용품목조회,적용품목조회,
APPLY_LEAD_TIME,리드타임적용,리드타임적용,
APPLY_LOCATION,적용위치,적용위치,
APPLY_MACHINE_CODE,설비번호운행,설비번호운행 (코드 값),
APPLY_MFS_LEAD_TIME,제조리드타입적용,제조리드타입적용,
APPLY_MINIMUM_QTY,최소발주량적용,최소발주량적용 (수량),
APPLY_MODEL,적용모델,적용모델,
APPLY_MODEL_MASTER,적용모델관리,적용모델관리,
APPLY_MODEL_NAME,적용모델,적용모델,
APPLY_ORDER_PROPERTY,발주특성적용,발주특성적용,
APPLY_ORDER_QTY,주문수량적용,주문수량적용 (수량),
APPLY_ORDER_RULE,주문규칙적용,주문규칙적용,
APPLY_OUTSIDE_INV,외주재고적용,외주재고적용,
APPLY_PACKING_QTY,포장단위적용,포장단위적용 (수량),
APPLY_PROPERTY,특성적용,특성적용,
APPLY_ROUND,올림처리,올림처리,
APPLY_SMT_MODEL_NAME,적용모델(SMT),적용모델(SMT),
APPLY_UNIT_PRICE,구매단가적용,구매단가적용,
APPLY_WORKSTAGE_INV,공정재고감안,공정재고감안,
APPLY_YN,적용Y/N,적용Y/N,
APPROVAL,승인,승인,
APPROVAL_DATE,승인일자,승인일자 (날짜),
APPROVAL_MASTER,승인관리,승인관리,
APPROVAL_NO,승인번호,승인번호,
APPROVAL_STATUS,승인상태,승인상태,"{""NG"": ""NG"", ""OK"": ""PASS""}"
APPROVE_YN,승인YN,승인YN,
APP_ERROR_CODE,프로그램오류코드,프로그램오류코드 (코드 값),
APP_ERROR_TEXT,프로그램오류문자,프로그램오류문자,
APR,4월,4월,
AP_TRNASFER_AMT,회계전송금액 :,회계전송금액 : (금액),
ARCHIVE_MODE,자재보관형태,자재보관형태,
AREADY_ARRIVAL_QTY,이도착수량,이도착수량 (수량),
ARGUMENT_DATA,아규먼트데이터,아규먼트데이터,
ARGUMENT_NAME,아규먼트명,아규먼트명,
ARGUMENT_SORT_ORDER,아규먼트정렬순서,아규먼트정렬순서,
ARG_LIST,아규먼트리스트,아규먼트리스트,
AROUND_ONE_1_MONTHS_AFTER_THE_FINAL_ORDER,최종지시후한달범위,최종지시후한달범위,
ARRAY_TYPE,에레이타입,에레이타입,"{""A"": ""단일품"", ""B"": ""조합품""}"
ARRAY_YN,대표여부,대표여부,
ARRIVAL,도착,도착,
ARRIVAL_AMT,도착금액,도착금액 (금액),
ARRIVAL_CANCEL,도착취소,도착취소,
ARRIVAL_CANCEL_MASTER,도착취소마스타,도착취소마스타,
ARRIVAL_CHARGE,도착담당,도착담당,
ARRIVAL_CONFIRM,도착승인,도착승인,
ARRIVAL_DATE,@도착일자,@도착일자 (날짜),
ARRIVAL_DEPARTMENT,도착부서,도착부서,
ARRIVAL_EXCESS_ORDER_QTY,주문수량초과불가,주문수량초과불가 (수량),
ARRIVAL_INVOICE_NO,도착전표번호,도착전표번호,
ARRIVAL_INVOICE_REPORT,도착전표리포트,도착전표리포트,
ARRIVAL_LIST,도착리스트,도착리스트,
ARRIVAL_LIST_BAD,도착리스트(불량),도착리스트(불량),
ARRIVAL_LOCATION_CODE,도착창고구분,도착창고구분 (코드 값),"{""HUB"": ""허브창고"", ""INSIDE"": ""내부창고""}"
ARRIVAL_MASTER,도착정보,도착정보,
ARRIVAL_NO,도착번호,도착번호,
ARRIVAL_QTY,도착수량,도착수량 (수량),
ARRIVAL_REPORT,도착리포트,도착리포트,
ARRIVAL_SEQ_NO,도착항번,도착항번,
ARRIVAL_SEQ_NO_ORIGIN,도착항번(원본),도착항번(원본),
ARRIVAL_STATUS,도착상태,도착상태,"{""C"": ""취소"", ""N"": ""정상""}"
ARRIVAL_STATUS_SUB_TOTAL,도착상태소계,도착상태소계,
ARRIVAL_TYPE,도착유형,도착유형,"{""A"": ""도착"", ""D"": ""출발"", ""R"": ""입고""}"
ARRIVAL_WAITING,도착대기,도착대기,
ARRIVED_BY,도착처리자,도착처리자,
ASC,내림차순,내림차순,
ASEMBLY_SHIPPING_HISTORY,반제품출하이력,반제품출하이력,
ASSEEMBLY_WORK_ORDER,반제품생산작업지시,반제품생산작업지시,
ASSEMBLY,반제품,반제품,
ASSEMBLYACTUAL_QTY,생산실적,생산실적 (수량),
ASSEMBLY_1,Assembly 즘1,Assembly 즘1,
ASSEMBLY_1_SUB_BOARD,Assembly #1 ( SUB Board ),Assembly #1 ( SUB Board ),
ASSEMBLY_2,Assembly #2,Assembly #2,
ASSEMBLY_2_FRONT_ASSY_QR_SCAN,Assembly #2 ( Front Assy QR Scan ),Assembly #2 ( Front Assy QR Scan ),
ASSEMBLY_2_FRONT_ASSY_QR_SCAN_AND_NO_SERIAL_BCR,Assembly #2 ( Front Assy QR Scan and No Serial BCR),Assembly #2 ( Front Assy QR Scan and No Serial BCR),
ASSEMBLY_ACTUAL,제품생산 실적 관리,제품생산 실적 관리,
ASSEMBLY_ACTUAL_BY_BARCODE_MASTER,반제품실적(바코드),반제품실적(바코드) (코드 값),
ASSEMBLY_ACTUAL_BY_CHARGER,일일리프트,일일리프트,
ASSEMBLY_ACTUAL_BY_CUSTOMER_O_N,반제품계획예측리포트(오더번호),반제품계획예측리포트(오더번호),
ASSEMBLY_ACTUAL_CANCEL_MASTER,반제품생산실적취소,반제품생산실적취소,
ASSEMBLY_ACTUAL_LIST,반제품생산리스트,반제품생산리스트,
ASSEMBLY_ACTUAL_MASTER,반제품생산실적관리,반제품생산실적관리,
ASSEMBLY_ACTUAL_MODIFY,생산실적수정,생산실적수정,
ASSEMBLY_ACTUAL_QTY,실적수량,실적수량 (수량),
ASSEMBLY_ACTUAL_REPORT,반제품실적리포트,반제품실적리포트,
ASSEMBLY_ACTUAL_RESULT_LIST,반제품실적리스트,반제품실적리스트,
ASSEMBLY_ACTUAL_RESULT_REPORT,반제품실적리포트,반제품실적리포트,
ASSEMBLY_ACTUAL_STATUS,상태,상태,
ASSEMBLY_ARRIVAL_LIST,반제품도착리스트,반제품도착리스트,
ASSEMBLY_BARCODE,생산실적(LSU),생산실적(LSU) (코드 값),
ASSEMBLY_BARCODE_SCAN_CHECK,반제품바코드스캔실사,반제품바코드스캔실사 (코드 값),
ASSEMBLY_BILL_COLLECTION,수금이력관리,수금이력관리,
ASSEMBLY_CURRENT_INVENTORY_DETAIL_LIST,단품재고상세목록,단품재고상세목록,
ASSEMBLY_CURRENT_INVENTORY_LIST,반제품재고리스트,반제품재고리스트,
ASSEMBLY_CURRENT_INVENTORY_MASTER,반제품재고관리,반제품재고관리,
ASSEMBLY_CURRENT_INVENTORY_SUMMARY_LIST,단품재고상세LIST,단품재고상세LIST,
ASSEMBLY_DAILY_INVENTORY_LIST,반제품일일재고리스트,반제품일일재고리스트,
ASSEMBLY_DATE,롯트카드 발행일자,롯트카드 발행일자 (날짜),
ASSEMBLY_FREE_ISSUE_CANCEL_MASTER,반제품무상외주가공출고취소,반제품무상외주가공출고취소,
ASSEMBLY_FREE_ISSUE_MASTER,반제품무상외주가공출고,반제품무상외주가공출고,
ASSEMBLY_FREE_OUTSIDE_MANUFACTURE,반제품무상외주가공,반제품무상외주가공,
ASSEMBLY_FREE_RECEIPT_CANCEL_LIST,？,？,
ASSEMBLY_FREE_RECEIPT_SUM_REPORT,반제품무상입고합계리포트,반제품무상입고합계리포트,
ASSEMBLY_FREE_SUBCONTRACT_OTHER_RECEIPT,반제품무상외주가공기타입고,반제품무상외주가공기타입고,
ASSEMBLY_FREE_SUBCONTRACT_OTHER_RECEIPT_CANCEL,반제품무상외주가공기타입고취소,반제품무상외주가공기타입고취소,
ASSEMBLY_FREE_SUBCONTRACT_RECEIPT,반제품무상외주가공입고관리,반제품무상외주가공입고관리,
ASSEMBLY_FREE_SUBCONTRACT_RECEIPT_CACNEL,반제품무상외주가공입고취소,반제품무상외주가공입고취소,
ASSEMBLY_INVENTORY,반제품재고,반제품재고,
ASSEMBLY_INVENTORY_ADJUST,반제품재고조정,반제품재고조정,
ASSEMBLY_INVENTORY_CHECK,반제품재고조사,반제품재고조사,
ASSEMBLY_INVENTORY_CHECK_LIST,단품제고LIST,단품제고LIST,
ASSEMBLY_INVENTORY_CHECK_LIST_REPORT,반제품재고조사리포트,반제품재고조사리포트,
ASSEMBLY_INVENTORY_CHECK_REPORT,단품재고검사리포트,단품재고검사리포트,
ASSEMBLY_INVENTORY_CLOSE,반제품재고결산,반제품재고결산,
ASSEMBLY_INVENTORY_CLOSE_REPORT,반제품재고결산리포트,반제품재고결산리포트,
ASSEMBLY_INVENTORY_LIST,반제품재고리스트,반제품재고리스트,
ASSEMBLY_INVENTORY_QTY,반제품재고수량,반제품재고수량 (수량),
ASSEMBLY_INVENTORY_QUERY,반제품재고조회,반제품재고조회,
ASSEMBLY_INVENTORY_REPORT,반제품재고리포트,반제품재고리포트,
ASSEMBLY_INVENTORY_SUMMARY,제품재고합계,제품재고합계,
ASSEMBLY_INVENTORY_SUMMARY_LIST,단품재고합계목록,단품재고합계목록,
ASSEMBLY_INVENTROY_CLOSE_REPORT,반제품결산리포트,반제품결산리포트,
ASSEMBLY_INV_QUERY,반제품재고조회,반제품재고조회,
ASSEMBLY_ISSUE,반제품출고,반제품출고,
ASSEMBLY_ISSUE_HISTORY,반제품출고이력,반제품출고이력,
ASSEMBLY_ISSUE_LIST,반제품출고리스트,반제품출고리스트,
ASSEMBLY_ISSUE_RETURN_HSITORY,단품출고이력,단품출고이력,
ASSEMBLY_ISSUE_RETURN_INVOICE,반성품출고반회인보이스,반성품출고반회인보이스,
ASSEMBLY_ISSUE_RETURN_LIST,반성품출고반회목록,반성품출고반회목록,
ASSEMBLY_ISSUE_RETURN_MASTER,반제품출고반품관리,반제품출고반품관리,
ASSEMBLY_LINE_TYPE,라인타입,라인타입,
ASSEMBLY_MASS_ISSUE_MASTER,반제품양산출고관리,반제품양산출고관리,
ASSEMBLY_MASTER_PLAN,반제품생산계획,반제품생산계획,
ASSEMBLY_MASTER_PLAN_LIST,반제품계획리스트,반제품계획리스트,
ASSEMBLY_MASTER_PLAN_MATRIX,반제품계획(매트릭스),반제품계획(매트릭스),
ASSEMBLY_MOVE_LIST,반제품이동목록,반제품이동목록,
ASSEMBLY_ORDER,반제품주문,반제품주문,
ASSEMBLY_ORDER_DATE,주문일자,주문일자 (날짜),
ASSEMBLY_ORDER_QTY,반성품지시수량,반성품지시수량 (수량),
ASSEMBLY_ORDER_STATUS,주문상태,주문상태,
ASSEMBLY_OTHER_ISSUE_CANCEL_MASTER,반제품출고취소,반제품출고취소,
ASSEMBLY_OTHER_ISSUE_MASTER,반제품출고관리(수동),반제품출고관리(수동),
