column_name,korean_name,description,business_rule,sample_values,unit,is_code_column,aggregation_functions,is_sensitive
AFTER_FIRST_LINE_INPUT_TIME,라인투입 후 시간,라인투입 후 시간,,,,N,"MIN,MAX",N
AFTER_ISSUE_TIME,상온방치 후 시간,상온방치 후 시간,,,,N,"MIN,MAX",N
AFTER_ITEM_CODE,변경후품목코드,변경후품목코드 (코드 값),,,,Y,,N
AFTER_LINE_CODE,변경후라인코드,변경후라인코드 (코드 값),,,,Y,,N
AFTER_ORDER_CHARGE,변경후주문담당자,변경후주문담당자,,,,N,,N
AFTER_ROOM_TEMP_TIME,상온방치 후 시간,상온방치 후 시간,,,,N,"MIN,MAX",N
AFTER_SUPPLIER,변경후공급상,변경후공급상,,,,N,,N
AFTER_VISCOSITY_TIME,점도측정 후 시간,점도측정 후 시간,,,,N,"MIN,MAX",N
AFTER_WORKSTAGE_CODE,변경후공정코드,변경후공정코드 (코드 값),,,,Y,,N
AGENT_MESSAGE,에이젼트메세지,에이젼트메세지,,,,N,,N
AGENT_MESSAGE_FILTER,에이젼트메세지필터,에이젼트메세지필터,,,,N,,N
AGENT_MESSAGE_HISTORY_LIST,에이젼트메세지이력리스트,에이젼트메세지이력리스트,,,,N,,N
AGENT_MESSAGE_LIST,에이젼트메세지리스트,에이젼트메세지리스트,,,,N,,N
AG_UNIT_WEIGHT,단위중량,단위중량,,,KG,N,,N
AIMCN_SAMPLE_INPUT_HIST_MODEL_NAME,모델,모델,,,,N,,N
AIR,Air,Air,,,,N,,N
AIR_DENSITY,산소농도,산소농도,,,,N,,N
AIR_N2,Air N2,Air N2,,,,N,,N
AIR_N2_TYPE,에어/질소구분,에어/질소구분,,,,Y,,N
AI_LINE,AI Line,AI Line,,,,N,,N
ALERT,경보,경보,,,,N,,N
ALERT_ACTION_CODE,경고처리코드,경고처리코드 (코드 값),,,,Y,,N
ALERT_BY,경보발생자,경보발생자,,,,N,,N
ALERT_DETAIL,경보상세,경보상세,,,,N,,N
ALERT_LIST,경보리스트,경보리스트,,,,N,,N
ALERT_MASTER,경보관리,경보관리,,,,N,,N
ALERT_MESSAGE,경보메시지,경보메시지,,,,N,,N
ALERT_TEXT,경보문자,경보문자,,,,N,,N
ALGORITHM,알고리즘,알고리즘,,,,N,,N
ALIAS_ADD,별명추가,별명추가,,,,N,,N
ALIGN_BOTTOM,아래로정렬,아래로정렬,,,,N,,N
ALIGN_LEFT,왼쪽정렬,왼쪽정렬,,,,N,,N
ALIGN_LINE_CENTER,라인가운데정렬,라인가운데정렬,,,,N,,N
ALIGN_RIGHT,오른쪽정렬,오른쪽정렬,,,,N,,N
ALIGN_TOP,위로정렬,위로정렬,,,,N,,N
ALL,전부,전부,,,,N,,N
ALLOW_LAST_MONTH_RECEIPT_CANCEL,전월입고취소,전월입고취소,,,,N,,N
ALLOW_MIX,혼입허용,혼입허용,,,,N,,N
ALLOW_MIX_MODEL,모델혼입허용,모델혼입허용,,,,N,,N
ALLOW_OVER_PLAN,계획초과인정,계획초과인정,,,,N,,N
ALLOW_WS_MINUS_INV,공정음수재고인정,공정음수재고인정,,,,N,,N
ALL_CANCEL,전부취소,전부취소,,,,N,,N
ALL_COMPLETE,전부완료,전부완료,,,,N,,N
ALL_CONFIRM,승인,승인,,,,N,,N
ALL_DELETE,전부삭제,전부삭제,,,,N,,N
ALL_PASS,전부합격,전부합격,,,,N,,N
ALL_RETURN,전부불합격,전부불합격,,,,N,,N
ALL_REUSE,전부재사용,전부재사용,,,,N,,N
ALL_SELECT,전부선택,전부선택,,,,N,,N
ALL_SELECT_CANCEL,전부취소,전부취소,,,,N,,N
ALL_SELECT_OPTION,선택옵션,선택옵션,,,,N,,N
ALL_TRACKING_FOR_THE_PRODUCTION,롯트추적조회(ALL),롯트추적조회(ALL),,,,N,,N
ALL_UNDO,전부복구,전부복구,,,,N,,N
ALL_WINDOW,모든윈도우,모든윈도우,,,,N,,N
ALL_WORKSTAGE_WAREHOUSE,전체 (공정+창고 ),전체 (공정+창고 ),,,,N,,N
AMOUNT,금액.,금액 (금액),,,KRW,N,"SUM,AVG",N
AMT,금액,금액 (금액),,,KRW,N,"SUM,AVG",N
AMT_CLOSE,금액마감,금액마감 (금액),,,KRW,N,"SUM,AVG",N
AMT_COPY,금액복사,금액복사 (금액),,,KRW,N,"SUM,AVG",N
AM_TOTAL,AM 총계,AM 총계,,,,N,"SUM,AVG",N
ANALYSIS,분석,분석,,,,N,,N
AND,및,및,,,,N,,N
AOI,AOI,AOI,,,,N,,N
AOILOG_QUERY_NEW,AOI 로그조회(신규),AOI 로그조회(신규),,,,N,,N
AOI_CHECK_YN,Aoi 검사여부,Aoi 검사여부,,,,Y,,N
AOI_DATA_GRAPH,AOI 데이터그래프,AOI 데이터그래프,,,,N,,N
AOI_DEFECT_CODE,AOI 불량코드,AOI 불량코드 (코드 값),,,,Y,,N
AOI_EQUIPMENTID,AOI 설비,AOI 설비,,,,N,,N
AOI_INSPECT_DATE,AOI 검사일자,AOI 검사일자 (날짜),,,,N,"MIN,MAX",N
AOI_LOG_QUERY,1-2번라인 AOI 로그조회,1-2번라인 AOI 로그조회,,,,N,,N
AOI_LOG_QUERY_NEW,AOI 로그조회,AOI 로그조회,,,,N,,N
AOI_MASTER_SAMPLE_CHECK,AOI 마스터샘플체크,AOI 마스터샘플체크,,,,N,,N
AOI_NG_DETAIL_QUERY,AOI 불량판정/리뷰결과조회,AOI 불량판정/리뷰결과조회,,,,N,,N
AOI_NG_RATE,AOI NG 비율,AOI NG 비율,,,%,N,AVG,N
AOI_NG_REVIEW_ONLY_QUERY,NG버퍼 DATA 로그조회,NG버퍼 DATA 로그조회,,,,N,,N
AOI_PASS_RATE,AOI 직행율,AOI 직행율,,,%,N,AVG,N
AOI_RESULT,AOI 검사결과,AOI 검사결과,,,,N,,N
AOI_RESULT_QUERY,AOI 검사결과조회,AOI 검사결과조회,,,,N,,N
AOI_REVIEW,NG버퍼 보기,NG버퍼 보기,,,,N,,N
AOI_REVIEW_RESULT,NG버퍼 결과,NG버퍼 결과,,,,N,,N
AOI_SAMPLE,AOI 샘플,AOI 샘플,,,,N,,N
AOI_TIME_QUERY,AOI 시간대별조회,AOI 시간대별조회,,,,N,"MIN,MAX",N
APCCTRL,Apcctrl리,Apcctrl리,,,,N,,N
APL,4월,4월,,,,N,,N
APLICAR_VERSI_N_AL_MODELO_TOP,버전적용 (TOP),버전적용 (TOP),,,,N,,N
APPEND,추가,추가,,,,N,,N
APPEND_F4,추가	F4,추가	F4,,,,N,,N
APPEND_MENU,메뉴추가,메뉴추가,,,,N,,N
APPEND_MY_MENU,바로가기추가,바로가기추가,,,,N,,N
APPEND_SERIAL,시리얼추가,시리얼추가,,,,N,,N
APPLICATION,APPLICATION,APPLICATION,,,,N,,N
APPLICATION_CODE,애플리케이션코드,애플리케이션코드 (코드 값),,,,Y,,N
APPLICATION_ERROR,애플리케이션오류,애플리케이션오류,,,,N,,N
APPLICATION_MANAGER,애플리케이션관리,애플리케이션관리,,,,N,,N
APPLICATION_NAME,애플리케이션명,애플리케이션명,,,,N,,N
APPLICATION_PLIVILEGE,프로그램사용권한,프로그램사용권한,,,,N,,N
APPLICATION_WINDOW,애플리케이션창,애플리케이션창,,,,N,,N
APPLY,적용,적용,,,,N,,N
APPLY_ABC_GRADE,ABC등급적용,ABC등급적용,,,,N,,N
APPLY_ALL,모두적용,모두적용,,,,N,,N
APPLY_ARRIVAL_QTY,도착수량적용,도착수량적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_ASSEMBLY_PLAN,반제품계획적용,반제품계획적용,,,,N,,N
APPLY_AUTO_ORDER_RULE,자동발주절차적용,자동발주절차적용,,,,N,,N
APPLY_CALENDAR,월력적용,월력적용,,,,N,,N
APPLY_DATE,적용일자,적용일자 (날짜),,,,N,"MIN,MAX",N
APPLY_INVENTORY_QTY,재고량적용,재고량적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_ISSUE_PACKING_QTY,출고포장단위적용,출고포장단위적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_ITEM_MASTER,적용품목마스트,적용품목마스트,,,,N,,N
APPLY_ITEM_MASTER_LIST,적용품목리스트,적용품목리스트,,,,N,,N
APPLY_ITEM_QUERY,적용품목조회,적용품목조회,,,,N,,N
APPLY_LEAD_TIME,리드타임적용,리드타임적용,,,,N,"MIN,MAX",N
APPLY_LOCATION,적용위치,적용위치,,,,N,,N
APPLY_MACHINE_CODE,설비번호운행,설비번호운행 (코드 값),,,,Y,,N
APPLY_MFS_LEAD_TIME,제조리드타입적용,제조리드타입적용,,,,N,"MIN,MAX",N
APPLY_MINIMUM_QTY,최소발주량적용,최소발주량적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_MODEL,적용모델,적용모델,,,,N,,N
APPLY_MODEL_MASTER,적용모델관리,적용모델관리,,,,N,,N
APPLY_MODEL_NAME,적용모델,적용모델,,,,N,,N
APPLY_ORDER_PROPERTY,발주특성적용,발주특성적용,,,,N,,N
APPLY_ORDER_QTY,주문수량적용,주문수량적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_ORDER_RULE,주문규칙적용,주문규칙적용,,,,N,,N
APPLY_OUTSIDE_INV,외주재고적용,외주재고적용,,,,N,,N
APPLY_PACKING_QTY,포장단위적용,포장단위적용 (수량),,,EA,N,"SUM,AVG",N
APPLY_PROPERTY,특성적용,특성적용,,,,N,,N
APPLY_ROUND,올림처리,올림처리,,,,N,,N
APPLY_SMT_MODEL_NAME,적용모델(SMT),적용모델(SMT),,,,N,,N
APPLY_UNIT_PRICE,구매단가적용,구매단가적용,,,KRW,N,,N
APPLY_WORKSTAGE_INV,공정재고감안,공정재고감안,,,,N,,N
APPLY_YN,적용Y/N,적용Y/N,,,,Y,,N
APPROVAL,승인,승인,,,,N,,N
APPROVAL_DATE,승인일자,승인일자 (날짜),,,,N,"MIN,MAX",N
APPROVAL_MASTER,승인관리,승인관리,,,,N,,N
APPROVAL_NO,승인번호,승인번호,,,,N,,N
APPROVAL_STATUS,승인상태,승인상태,,,,Y,,N
APPROVE_YN,승인YN,승인YN,,,,Y,,N
APP_ERROR_CODE,프로그램오류코드,프로그램오류코드 (코드 값),,,,Y,,N
APP_ERROR_TEXT,프로그램오류문자,프로그램오류문자,,,,N,,N
APR,4월,4월,,,,N,,N
AP_TRNASFER_AMT,회계전송금액 :,회계전송금액 : (금액),,,KRW,N,"SUM,AVG",N
ARCHIVE_MODE,자재보관형태,자재보관형태,,,,N,,N
AREADY_ARRIVAL_QTY,이도착수량,이도착수량 (수량),,,EA,N,"SUM,AVG",N
ARGUMENT_DATA,아규먼트데이터,아규먼트데이터,,,,N,,N
ARGUMENT_NAME,아규먼트명,아규먼트명,,,,N,,N
ARGUMENT_SORT_ORDER,아규먼트정렬순서,아규먼트정렬순서,,,,N,,N
ARG_LIST,아규먼트리스트,아규먼트리스트,,,,N,,N
